website,prod_name,prod_price,prod_rate,prod_discount,prod_link,scrape_MonthStamp,scrape_DayStamp,scrape_HourStamp,scrape_FullTimestamp
Jumia,Samsung Galaxy A26 Dual SIM 5G 256GB/8GB Mobile Phone – Peach Pink,"EGP 13,499.00",4.2 out of 5,Official Store,https://www.jumia.com.eg/samsung-galaxy-a26-dual-sim-5g-256gb8gb-mobile-phone-peach-pink-131618226.html,10,27,13,2025-10-27 13:56:39
Jumia,Samsung Galaxy A26 Dual SIM 5G 256GB/8GB Mobile Phone - White,"EGP 13,299.00",4.9 out of 5,Official Store,https://www.jumia.com.eg/samsung-galaxy-a26-dual-sim-5g-256gb8gb-mobile-phone-white-131618225.html,10,27,13,2025-10-27 13:56:39
Jumia,Samsung Samsung Galaxy A36 Dual SIM 5G 256GB/8GB Mobile Phone - Awesome Lime,"EGP 16,899.00",5 out of 5,Official Store,https://www.jumia.com.eg/galaxy-a36-dual-sim-5g-256gb8gb-mobile-phone-awesome-lime-samsung-mpg3851013.html,10,27,13,2025-10-27 13:56:39
Jumia,Motorola G85 Dual SIM 5G Mobile Phone 256GB/12GB - Olive Green,"EGP 12,089.00",NotFound,38%,https://www.jumia.com.eg/motorola-g85-dual-sim-5g-mobile-phone-256gb12gb-olive-green-130266044.html,10,27,13,2025-10-27 13:56:39
Jumia,"Honor 200 - 6.7"" 256GB/12GB Dual SIM 5G Mobile Phone - Moonlight White","EGP 21,599.00",5 out of 5,9%,https://www.jumia.com.eg/200-6.7-256gb12gb-dual-sim-5g-mobile-phone-moonlight-white-honor-mpg3818103.html,10,27,13,2025-10-27 13:56:39
Jumia,XIAOMI MI Redmi Note 14 Pro+ - 6.6 Inch 256GB/12GB Dual SIM 4G Mobile Phone - Blue + Free Redmi Watch 5 Active - Black,"EGP 23,976.00",4.5 out of 5,15%,https://www.jumia.com.eg/xiaomi-mi-redmi-note-14-pro-6.6-inch-256gb12gb-dual-sim-4g-mobile-phone-blue-free-redmi-watch-5-active-black-130936431.html,10,27,13,2025-10-27 13:56:39
Jumia,"Honor 200 - 6.7"" 512GB/12GB Dual SIM 5G Mobile Phone - Black","EGP 24,055.00",NotFound,9%,https://www.jumia.com.eg/200-6.7-512gb12gb-dual-sim-5g-mobile-phone-black-honor-mpg3818106.html,10,27,13,2025-10-27 13:56:39
Jumia,"Honor 200 - 6.7"" 256GB/12GB Dual SIM 5G Mobile Phone - Emerald Green","EGP 17,999.00",5 out of 5,24%,https://www.jumia.com.eg/200-6.7-inch-12gb256gb-dual-sim-5g-mobile-phone-emerald-green-honor-mpg3818102.html,10,27,13,2025-10-27 13:56:39
Jumia,"Honor 200 - 6.7"" 256GB/12GB Dual SIM 5G Mobile Phone - Black","EGP 17,999.00",5 out of 5,24%,https://www.jumia.com.eg/200-6.7-inch-12gb256gb-dual-sim-5g-mobile-phone-black-honor-mpg3818100.html,10,27,13,2025-10-27 13:56:39
Jumia,Samsung Galaxy A26 Dual SIM 5G 128GB/6GB Mobile Phone- White,"EGP 11,999.00",5 out of 5,Official Store,https://www.jumia.com.eg/samsung-galaxy-a26-dual-sim-5g-128gb6gb-mobile-phone-white-133719202.html,10,27,13,2025-10-27 13:56:39
Jumia,Samsung Galaxy A26 Dual SIM 5G 256GB/8GB Mobile Phone- Black,"EGP 13,799.00",NotFound,Official Store,https://www.jumia.com.eg/samsung-galaxy-a26-dual-sim-5g-256gb8gb-mobile-phone-black-133719204.html,10,27,13,2025-10-27 13:56:39
Jumia,XIAOMI MI Redmi Note 14 Pro+ - 6.6 Inch 256GB/12GB Dual SIM 5G Mobile Phone - Midnight Black,"EGP 18,149.00",3 out of 5,35%,https://www.jumia.com.eg/xiaomi-mi-redmi-note-14-pro-6.6-inch-256gb12gb-dual-sim-5g-mobile-phone-midnight-black-130936429.html,10,27,13,2025-10-27 13:56:39
Jumia,"Honor 200 Pro - 6.7"" 512GB/12GB Dual SIM 5G Mobile Phone - Black","EGP 26,999.00",NotFound,23%,https://www.jumia.com.eg/200-pro-6.7-512gb12gb-dual-sim-5g-mobile-phone-black-honor-mpg3818099.html,10,27,13,2025-10-27 13:56:39
Jumia,"Honor 200 - 6.7"" 512GB/12GB Dual SIM 5G Mobile Phone - Moonlight White","EGP 20,859.00",4 out of 5,23%,https://www.jumia.com.eg/200-6.7-512gb12gb-dual-sim-5g-mobile-phone-moonlight-white-honor-mpg3818105.html,10,27,13,2025-10-27 13:56:39
Jumia,"Honor 200 - 6.7"" 512GB/12GB Dual SIM 5G Mobile Phone - Emerald Green","EGP 19,999.00",1 out of 5,25%,https://www.jumia.com.eg/200-6.7-512gb12gb-dual-sim-5g-mobile-phone-emerald-green-honor-mpg3818104.html,10,27,13,2025-10-27 13:56:39
Jumia,Samsung A06 - 6.7 Inch 128GB/6GB Dual SIM 4G Mobile Phone - Black,"EGP 5,899.00",4 out of 5,Official Store,https://www.jumia.com.eg/a06-6.7-inch-128gb6gb-dual-sim-4g-mobile-phone-black-samsung-mpg3818092.html,10,27,13,2025-10-27 13:56:39
Jumia,"Honor X6c Dual SIM 4G Smartphone – 128GB Storage, 6GB RAM – Ocean Cyan","EGP 5,599.00",4.6 out of 5,5%,https://www.jumia.com.eg/honor-x6c-dual-sim-4g-smartphone-128gb-storage-6gb-ram-ocean-cyan-133130994.html,10,27,13,2025-10-27 13:56:39
Jumia,Samsung Galaxy A07 Dual SIM 4G 128GB/6GB Mobile Pone- Black,"EGP 6,350.00",5 out of 5,Official Store,https://www.jumia.com.eg/galaxy-a07-dual-sim-4g-128gb6gb-mobile-pone-black-samsung-mpg3856393.html,10,27,13,2025-10-27 13:56:39
Jumia,Samsung A06 - 6.7 Inch 128GB/6GB Dual SIM 4G Mobile Phone - Light Blue,"EGP 5,899.00",4.2 out of 5,Official Store,https://www.jumia.com.eg/a06-6.7-inch-128gb6gb-dual-sim-4g-mobile-phone-light-blue-samsung-mpg3818093.html,10,27,13,2025-10-27 13:56:39
Jumia,Samsung Galaxy A36 Dual SIM 5G 128GB/8GB Mobile Phone - Awesome Black,"EGP 15,499.00",4.4 out of 5,Official Store,https://www.jumia.com.eg/galaxy-a36-dual-sim-5g-128gb8gb-mobile-phone-awesome-black-samsung-mpg3852975.html,10,27,13,2025-10-27 13:56:39
Jumia,Honor 400 Dual SIM 5G Smartphone - 256GB/12GB - Desert Gold + Free Anker V20i - Black,"EGP 19,999.00",4.8 out of 5,9%,https://www.jumia.com.eg/honor-400-dual-sim-5g-smartphone-256gb12gb-desert-gold-free-anker-v20i-black-133649924.html,10,27,13,2025-10-27 13:56:39
Jumia,"Samsung Galaxy A17 - 6.7"" 128GB/4GB Dual SIM 4G Mobile Phone - Gray","EGP 7,390.00",NotFound,Official Store,https://www.jumia.com.eg/samsung-galaxy-a17-6.7-128gb4gb-dual-sim-4g-mobile-phone-gray-133725922.html,10,27,13,2025-10-27 13:56:39
Jumia,XIAOMI Poco C75 - 6.88-inch 8GB/256GB Dual Sim 4G Mobile Phone - Black,"EGP 6,319.00",4.2 out of 5,17%,https://www.jumia.com.eg/poco-c75-6.8-256gb8gb-dual-sim-4g-mobile-phone-black-xiaomi-mpg3818373.html,10,27,13,2025-10-27 13:56:39
Jumia,Samsung Galaxy A56 Dual SIM 5G 256GB/8GB 6.7 inches Mobile phone - Awesome Graphite,"EGP 21,399.00",5 out of 5,Official Store,https://www.jumia.com.eg/samsung-galaxy-a56-dual-sim-5g-256gb8gb-6.7-inches-mobile-phone-awesome-graphite-133606402.html,10,27,13,2025-10-27 13:56:39
Jumia,Honor 400 Dual SIM 5G Smartphone - 256GB/12GB - Meteor Silver + Free Anker V20i - Black,"EGP 19,999.00",4.8 out of 5,9%,https://www.jumia.com.eg/honor-400-dual-sim-5g-smartphone-256gb12gb-meteor-silver-free-anker-v20i-black-133649923.html,10,27,13,2025-10-27 13:56:39
Jumia,"Honor X6c Dual SIM 4G Smartphone – 128GB Storage, 6GB RAM – Midnight Black","EGP 5,599.00",4.3 out of 5,5%,https://www.jumia.com.eg/honor-x6c-dual-sim-4g-smartphone-128gb-storage-6gb-ram-midnight-black-133130993.html,10,27,13,2025-10-27 13:56:39
Jumia,XIAOMI Redmi Note 14 - Dual SIM 4G 256GB/8GB Mobile Phone - Midnight Black,"EGP 10,199.00",4.9 out of 5,17%,https://www.jumia.com.eg/xiaomi-redmi-note-14-dual-sim-4g-256gb8gb-mobile-phone-midnight-black-130836296.html,10,27,13,2025-10-27 13:56:39
Jumia,Infinix Smart 10 Dual SIM 4G 128GB/4GB Mobile Phone - Sleek Black,"EGP 4,266.00",5 out of 5,9%,https://www.jumia.com.eg/infinix-smart-10-dual-sim-4g-128gb4gb-mobile-phone-sleek-black-133659487.html,10,27,13,2025-10-27 13:56:39
Jumia,"Samsung Galaxy A56 256GB, 12GB RAM Mobile Phone – 6.7"", 5G, Awesome Light Grey","EGP 22,699.00",5 out of 5,Official Store,https://www.jumia.com.eg/samsung-galaxy-a56-256gb-12gb-ram-mobile-phone-6.7-5g-awesome-light-grey-132299739.html,10,27,13,2025-10-27 13:56:39
Jumia,Samsung Galaxy A07 Dual SIM 4G 128GB/4GB Mobile Phone- Black,"EGP 5,700.00",1 out of 5,Official Store,https://www.jumia.com.eg/galaxy-a07-dual-sim-4g-128gb4gb-mobile-phone-black-samsung-mpg3856252.html,10,27,13,2025-10-27 13:56:39
Jumia,Samsung Galaxy A26 Dual SIM 5G 256GB/8GB Mobile Phone - Black,"EGP 13,499.00",3.5 out of 5,Official Store,https://www.jumia.com.eg/samsung-galaxy-a26-dual-sim-5g-256gb8gb-mobile-phone-black-131618224.html,10,27,13,2025-10-27 13:56:39
Jumia,"Honor X9c - 6.7"" 256GB/12GB Dual SIM 5G Mobile Phone - Sunrise Orange","EGP 16,999.00",4.6 out of 5,9%,https://www.jumia.com.eg/x9c-5g-6.78-inch-12gb256gb-dual-sim-mobile-phone-sunrise-orange-honor-mpg3818148.html,10,27,13,2025-10-27 13:56:39
Jumia,Honor 400 Lite Dual SIM 5G 256GB/8GB - Marrs Green,"EGP 12,899.00",5 out of 5,12%,https://www.jumia.com.eg/honor-400-lite-dual-sim-5g-256gb8gb-marrs-green-133618936.html,10,27,13,2025-10-27 13:56:39
Jumia,Honor 400 Dual SIM 5G Smartphone - 512GB/12GB - Desert Gold + Free Anker V20i - Black,"EGP 21,899.00",5 out of 5,9%,https://www.jumia.com.eg/honor-400-dual-sim-5g-smartphone-512gb12gb-desert-gold-free-anker-v20i-black-133649927.html,10,27,13,2025-10-27 13:56:39
Jumia,Samsung Galaxy A07 Dual SIM 4G 128GB/6GB Mobile Phone- Black,"EGP 6,350.00",NotFound,5%,https://www.jumia.com.eg/samsung-galaxy-a07-dual-sim-4g-128gb6gb-mobile-phone-black-133716447.html,10,27,13,2025-10-27 13:56:39
Jumia,XIAOMI Redmi Note 14 - Dual SIM 4G 128GB/8GB Mobile Phone - Midnight Black,"EGP 9,369.00",4.7 out of 5,17%,https://www.jumia.com.eg/xiaomi-redmi-note-14-dual-sim-4g-128gb8gb-mobile-phone-midnight-black-130836299.html,10,27,13,2025-10-27 13:56:39
