Car_Price,Car_name,Mileage,Car_year,Location,Creation_date,FuelType,Contect_method,Page
"EGP 10,500,000",Mercedes-Benz G500 2021,No Mileage,2021,"Heliopolis, Cairo•",3 days ago,2021,Call,1
"EGP 210,000",Daihatsu Mira 2000,No Mileage,2000,"New Cairo, Cairo•",4 days ago,2000,Call,1
"EGP 7,500,000",مرسيدس بنز جى 63 2016,No Mileage,2016,"6th of October, Giza•",1 week ago,2016,Call,1
"EGP 445,000",Chevrolet Aveo 2015,No Mileage,2015,"Sidi Beshr, Alexandria•",1 week ago,2015,Call,1
"EGP 1,800,000",Volkswagen Passat Comfort line 2022,No Mileage,2022,"Heliopolis, Cairo•",1 week ago,2022,Call,1
"EGP 2,800,000",BMW X3 Model 2021,No Mileage,2021,"Beverly Hills Compound, Sheikh Zayed•",23 hours ago,2021,Call,1
"EGP 3,050,000",مرسيدس بنز سي 180 2023 AMG,No Mileage,2023,"Nasr City, Cairo•",1 hour ago,2023,Call,1
"EGP 725,000",صني 2025 سوبر صالون بصمه,No Mileage,2025,"6th District, Sheikh Zayed•",4 days ago,2025,Call,1
"EGP 1,680,000",BMW 528i 2015 excellent condition,No Mileage,2015,"Agouza, Giza•",5 days ago,2015,Call,1
"EGP 2,230,000",أودي q3 هايبرد موديل 2023 استيراد,No Mileage,2023,"Heliopolis, Cairo•",6 days ago,2023,Call,1
"EGP 560,000",شيفروليه اوبترا 2022,No Mileage,2022,"Gesr Al Suez, Cairo•",2 days ago,2022,Call,1
"EGP 675,000",Hyundai Elantra 2016,No Mileage,2016,"Sidi Gaber, Alexandria•",22 hours ago,2016,Call,1
"EGP 6,400,000",بورشه باناميرا 2018 Panamera 4 hybrid,No Mileage,2018,"Sheikh Zayed, Giza•",1 day ago,2018,Call,1
"EGP 850,000",Jeep Cherokee 2010,No Mileage,2010,"5th Settlement, New Cairo•",55 minutes ago,2010,Call,1
"EGP 120,000",فولفو 240 1979,No Mileage,1979,"Nasr City, Cairo•",5 days ago,1979,Chat,1
"EGP 1,100,000",بي ام دبليو 318 2017,No Mileage,2017,"Heliopolis, Cairo•",1 day ago,2017,Call,1
"EGP 850,000",أوبل انسيجنيا 2016  الفئه التانيه Opel Insignia,No Mileage,2016,"New Cairo, Cairo•",2 hours ago,2016,Call,1
"EGP 485,000",شيفروليه اوبترا 2009 كاملة اوتوماتيك,No Mileage,2009,"5th Settlement, New Cairo•",1 hour ago,2009,Call,1
"EGP 5,400,000",Range Rover Velar 2024 - رخصت ولم تستخدم,No Mileage,2024,"6th of October, Giza•",5 days ago,2024,Call,1
"EGP 855,000",رينو كادجار 2022 للبيع او البدل,No Mileage,2022,"1st Settlement, New Cairo•",3 days ago,2022,Call,1
"EGP 6,100,000",BMW X7 2020,No Mileage,2020,"5th Settlement, New Cairo•",6 days ago,2020,Call,1
"EGP 1,270,000",Jeep Wrangler 2014. stock . perfect condition. all fabric,No Mileage,2014,"Zezenia, Alexandria•",1 day ago,2014,Call,1
"EGP 3,000,000",Kia Sportage 2024 كيا سبورتاج,No Mileage,2024,"Suez District, Suez•",6 days ago,2024,Call,1
"EGP 630,000",Hyundai Elantra 2017,No Mileage,2017,"Dreamland Compound, 6th of October•",2 days ago,2017,Call,1
"EGP 780,000",Nissan Sentra 2024,No Mileage,2024,"6th of October, Giza•",2 days ago,2024,Call,1
"EGP 1,060,000",هيونداي إلينترا 2021,No Mileage,2021,"Mohandessin, Giza•",6 days ago,2021,Call,1
"EGP 555,000",Peugeot 301 2021,No Mileage,2021,"Nasr City, Cairo•",6 days ago,2021,Call,1
"EGP 700,000",MINI Countryman 2015 standard,No Mileage,2015,"1st Settlement, New Cairo•",4 days ago,2015,Call,1
"EGP 3,450,000",Mercedes-Benz C200 2023 AMG,No Mileage,2023,"Nasr City, Cairo•",5 days ago,2023,Call,1
"EGP 590,000",نيسان أكس تريل 2009,No Mileage,2009,"Al Amiriyyah, Cairo•",5 days ago,2009,Call,1
"EGP 1,175,000",هوندا أكورد 2021,No Mileage,2021,"1st District, 6th of October•",2 days ago,2021,Call,1
"EGP 3,350,000",Mercedes GLC 300 2020,No Mileage,2020,"1st Settlement, New Cairo•",18 hours ago,2020,Call,1
"EGP 950,000",أوبل موكا 2022,No Mileage,2022,"Mokattam, Cairo•",3 days ago,2022,Call,1
"EGP 3,200,000",2024 Mercedes-Benz C 200 Avantgarde - مرسيدس بنز سي 200 2024 افنجارد,No Mileage,2024,"5th Settlement, New Cairo•",4 days ago,2024,Call,1
"EGP 1,725,000","BMW X3 2016 all fabric excellent condition 109000km,فابريكا بالكامل",No Mileage,2016,"Glim, Alexandria•",3 days ago,2016,Call,1
"EGP 2,000,000",Peugeot 5008 2020,No Mileage,2020,"5th Settlement, New Cairo•",4 days ago,2020,Call,1
"EGP 250,000",Speranza A213 2009,No Mileage,2009,"Heliopolis, Cairo•",3 days ago,2009,Call,1
