Category,Prod_name,Current_price,Num_comments,Review,Old_price,discound,currency,delivery,Get_date,fulfiment,best_seller,Prod_link
Electronics,Kingston 64GB micSDXC Canvas Select Plus 100R A1 C10 Card + ADP 64 GB,267.10,882,3.6,Not Found,No discound,EGP,#1 in Memory CardFree DeliverySelling out fast#1 in Memory Card,Get it Tomorrow,,Best Seller,/egypt-en/64gb-micsdxc-canvas-select-plus-100r-a1-c10-card-adp-64-gb/N50609744A/p/?o=a7430c3d7c376c5a
Electronics,Rockstar Games Grand Theft Auto V - Adventure - PlayStation 5 (PS5),"1,330",2.3K,4.4,"1,599",16% Off,EGP,#4 in Video GamesFree Delivery#4 in Video Games,Get it Tomorrow,,Not best seller,/egypt-en/grand-theft-auto-v-adventure-playstation-5-ps5/N53091380A/p/?o=f706dea201c3139d
Electronics,Rockstar Games Grand Theft Auto V - Premium Edition - PlayStation 4 - Action & Shooter - PlayStation 4 (PS4),"1,128",18.4K,4.4,Not Found,No discound,EGP,#7 in Video GamesFree Delivery#7 in Video Games,Get it Tomorrow,,Not best seller,/egypt-en/grand-theft-auto-v-premium-edition-playstation-4-action-shooter-playstation-4-ps4/N30107462A/p/?o=dd6685858bf3042c
Electronics,ATA 32-Inch HD LED TV ATA32H0N Black,"4,017",62,4.2,"4,055",No discound,EGP,#11 in TelevisionsFree DeliverySelling out fast#11 in Televisions,Get it Tomorrow,,Not best seller,/egypt-en/32-inch-hd-led-tv-ata32h0n-black/N29238182A/p/?o=c47957430e33b8ee
Electronics,Somic G910i USB Gaming Headset - 7.1 Surround Sound With Vibration Bass & Software - With LED  for PS4/PC/Laptop/Xbox One,599,603,4.0,899,33% Off,EGP,#14 in Microphone & HeadsetsFree Delivery20+ sold recently#14 in Microphone & Headsets,Get it Tomorrow,,Not best seller,/egypt-en/g910i-usb-gaming-headset-7-1-surround-sound-with-vibration-bass-software-with-led-for-ps4-pc-laptop-xbox-one/ZC2A226C1BAD8AC0287FEZ/p/?o=zc2a226c1bad8ac0287fez-1
Electronics,NOKIA 106 Dual Sim 4G-Black,570,1.2K,3.3,"1,292",55% Off,EGP,#3 in Feature PhonesFree DeliverySelling out fast120+ sold recently#3 in Feature Phones,Get it Tomorrow,,Not best seller,/egypt-en/106-dual-sim-4g-black/N53400027A/p/?o=c2f13de6fca60c0f
Electronics,NOKIA 5310 Dual SIM Black Red 8MB Ram 16MB GSM 4G,999,611,3.3,Not Found,No discound,EGP,#7 in Feature PhonesFree Delivery60+ sold recently#7 in Feature Phones,Get it Tomorrow,,Not best seller,/egypt-en/5310-dual-sim-black-red-8mb-ram-16mb-gsm-4g/N53356487A/p/?o=d5c4a4d90ce2ebff
Electronics,"K9 Wireless Dual Microphone , Digital Mini Portable Recording Clip Mic with Receiver for All Type-C Mobile Phones and converter Lightning - Black",239,408,3.3,450,46% Off,EGP,Free Delivery100+ sold recentlyFree Delivery,Get it Tomorrow,,Best Seller,/egypt-en/k9-wireless-dual-microphone-digital-mini-portable-recording-clip-mic-with-receiver-for-all-type-c-mobile-phones-and-converter-lightning-black/Z16A9208DCEF776DB725EZ/p/?o=z16a9208dcef776db725ez-1
Electronics,Lynca 36-Slots Memory Card Holder Case Black,233,5,3.6,300,22% Off,EGP,Free DeliveryFree Delivery,Get it by 1 Nov,,Not best seller,/egypt-en/36-slots-memory-card-holder-case-black/N24648936A/p/?o=b4718d9d6bc7c49f
Electronics,Grouhy Grouhy HD Satellite Receiver Mini - Black - 9500 Pro,499,78,3.3,800,37% Off,EGP,#12 in Set Top BoxesFree Delivery#12 in Set Top Boxes,Get it Tomorrow,,Not best seller,/egypt-en/grouhy-hd-satellite-receiver-mini-black-9500-pro/ZD6F5BB98FC80449011DAZ/p/?o=zd6f5bb98fc80449011daz-1
Electronics,Nabi Z7A Smart Watch Tracker For Kids - Light Blue,699,422,3.5,"1,200",41% Off,EGP,Free DeliveryFree Delivery,Get it Tomorrow,,Not best seller,/egypt-en/z7a-smart-watch-tracker-for-kids-light-blue/ZA2AB5617C876C15E4B30Z/p/?o=za2ab5617c876c15e4b30z-1
Electronics,"Anker USB C Charger, 735 Charger (Nano II 65W), PPS 3-Port Fast Compact Foldable for MacBook Pro/Air, iPad Pro 2024, Galaxy S24, iPhone 16/15, Google pixel, Steam Deck, and More -","1,499",175,4.4,"2,275",34% Off,EGP,#13 in Mobile Phone AdaptersFree Delivery#13 in Mobile Phone Adapters,Get it Tomorrow,,Not best seller,/egypt-en/usb-c-charger-735-charger-nano-ii-65w-pps-3-port-fast-compact-foldable-for-macbook-pro-air-ipad-pro-2024-galaxy-s24-iphone-16-15-google-pixel-steam-deck-and-more/N53361097A/p/?o=c93e1c50591b0a3d
Electronics,SODO Wireless Over Ear headphone Black,475,1.7K,3.8,Not Found,No discound,EGP,Free DeliverySelling out fastFree Delivery,Get it Tomorrow,,Not best seller,/egypt-en/wireless-over-ear-headphone-black/N42683500A/p/?o=b90dea2e2812023b
Electronics,HP ماوس كمبيوتر لاسلكي S4000، 1600 نقطة في البوصة,125,158,3.6,490,74% Off,EGP,#17 in Gaming Mouse For Video GamesFree Delivery20+ sold recently#17 in Gaming Mouse For Video Games,Get it Tomorrow,,Not best seller,/egypt-en/s4000-1600/Z34AC1B105E466BD11AD1Z/p/?o=z34ac1b105e466bd11ad1z-1
Electronics,NOKIA Nokia 6310 black 4G,"1,200",292,2.9,Not Found,No discound,EGP,#9 in Feature PhonesFree DeliveryOnly 1 left in stock40+ sold recently#9 in Feature Phones,Get it by 6 Nov,,Not best seller,/egypt-en/nokia-6310-black-4g/N53404995A/p/?o=e0d2388227f9df9e
Electronics,"HP LaserJet M111A Printer, Print Up To 20 PPM A4, 150-Sheets Input Tray, 500 MHz Processor Speed, Hi-Speed USB Connectivity, Perfect for Home & Office - 7MD67A | White","5,045",98,4.0,Not Found,No discound,EGP,#2 in Laser PrintersFree DeliveryOnly 2 left in stock120+ sold recently#2 in Laser Printers,Get it by 3 Nov,,Best Seller,/egypt-en/laserjet-m111a-printer-print-up-to-20-ppm-a4-150-sheets-input-tray-500-mhz-processor-speed-hi-speed-usb-connectivity-perfect-for-home-office-7md67a-white/N52595570A/p/?o=fff8219c79636aec
Electronics,"HP 305 Black Original Ink Cartridge Black (1) + HP 305 Tri-color Original Ink Cartridge(1) (3YM61AE/3YM60AE) | Works with HP DeskJet 2700, 2730, 4100 Printers Black/Multicolor","1,407",2.4K,4.4,"1,801",21% Off,EGP,#1 in Ink CartridgeFree Delivery10+ sold recently#1 in Ink Cartridge,Get it Tomorrow,,Best Seller,/egypt-en/305-black-original-ink-cartridge-black-1-hp-305-tri-color-original-ink-cartridge-1-3ym61ae-3ym60ae-works-with-hp-deskjet-2700-2730-4100-printers-black-multicolor/N43983194A/p/?o=cfc855e4304aaade
Electronics,HP Pack of 2 HP 652 Original Ink Cartridge Set Black & Tri Colour,"1,850",2.0K,4.6,"2,500",26% Off,EGP,#4 in Ink CartridgeFree Delivery10+ sold recently#4 in Ink Cartridge,Get it Tomorrow,,Not best seller,/egypt-en/pack-of-2-hp-652-original-ink-cartridge-set-black-tri-colour/N14372366A/p/?o=deab8a99d159ddde
Electronics,JOYROOM Ipad Pencil With Palm Rejection Glove Capacitive Stylus Pen For Kid Student Drawing And Writing Universal Ipad Pro Ipad 8Th 7Th 6Th Generation Mini Air Iphone Android Samsung Surface Silver,298.95,404,4.5,Not Found,No discound,EGP,#7 in Digital PensFree DeliveryOnly 2 left in stock#7 in Digital Pens,Get it Tomorrow,,Not best seller,/egypt-en/ipad-pencil-with-palm-rejection-glove-capacitive-stylus-pen-for-kid-student-drawing-and-writing-universal-ipad-pro-ipad-8th-7th-6th-generation-mini-air-iphone-android-samsung-surface-silver/N53402222A/p/?o=c01df9d00ac46bfe
